cd_municipio;dc_municipio;2014;2015;2016;2017;2018;2019;2020;2021;2024
1100015;Alta Floresta D'Oeste (RO);25652;25578;25506;25437;23167;22945;22728;22516;22853
1100023;Ariquemes (RO);102860;104401;105896;107345;106168;107863;109523;111148;108573
1100031;Cabixi (RO);6424;6355;6289;6224;5438;5312;5188;5067;5690
1100049;Cacoal (RO);86556;87226;87877;88507;84813;85359;85893;86416;97637
1100056;Cerejeiras (RO);18013;17986;17959;17934;16444;16323;16204;16088;16975
1100064;Colorado do Oeste (RO);19001;18817;18639;18467;16227;15882;15544;15213;16588
1100072;Corumbiara (RO);8938;8842;8749;8659;7567;7391;7220;7052;8001
1100080;Costa Marques (RO);16258;16651;17031;17400;17855;18331;18798;19255;13522
1100098;Espigão D'Oeste (RO);32047;32385;32712;33030;32047;32374;32695;33009;32717
1100106;Guajará-Mirim (RO);46203;46632;47048;47451;45783;46174;46556;46930;43553
1100114;Jaru (RO);55669;55738;55806;55871;51933;51775;51620;51469;55583
1100122;Ji-Paraná (RO);129242;130419;131560;132667;127907;128969;130009;131026;139359
1100130;Machadinho D'Oeste (RO);36412;37167;37899;38609;39097;39991;40867;41724;34063
1100148;Nova Brasilândia D'Oeste (RO);21511;21592;21670;21747;20459;20474;20489;20504;16504
1100155;Ouro Preto do Oeste (RO);40010;39924;39840;39759;36340;36035;35737;35445;38681
1100189;Pimenta Bueno (RO);37230;37512;37786;38051;36434;36660;36881;37098;39053
1100205;Porto Velho (RO);494013;502748;511219;519436;519531;529544;539354;548952;514873
1100254;Presidente Médici (RO);22783;22557;22337;22124;19409;18986;18571;18165;20518
1100262;Rio Crespo (RO);3709;3750;3790;3829;3723;3764;3804;3843;3753
1100288;Rolim de Moura (RO);55807;56242;56664;57074;54702;55058;55407;55748;62559
1100296;Santa Luzia D'Oeste (RO);8706;8532;8362;8198;6781;6495;6216;5942;7877
1100304;Vilhena (RO);89797;91801;93745;95630;97448;99854;102211;104517;108528
1100320;São Miguel do Guaporé (RO);23803;23933;24059;24181;22931;23005;23077;23147;22267
1100338;Nova Mamoré (RO);26925;27600;28255;28891;29757;30583;31392;32184;28496
1100346;Alvorada D'Oeste (RO);17228;17063;16902;16747;14722;14411;14106;13807;13837
1100379;Alto Alegre dos Parecis (RO);13884;13940;13993;14045;13227;13241;13255;13268;12263
1100403;Alto Paraíso (RO);19841;20210;20569;20916;20999;21428;21847;22258;17463
1100452;Buritis (RO);37207;37838;38450;39044;38937;39654;40356;41043;30729
1100502;Novo Horizonte do Oeste (RO);10393;10276;10161;10051;8751;8538;8329;8125;8056
1100601;Cacaulândia (RO);6318;6367;6414;6460;6190;6230;6269;6307;4345
1100700;Campo Novo de Rondônia (RO);14081;14220;14354;14484;14009;14139;14266;14391;9225
1100809;Candeias do Jamari (RO);23573;24155;24719;25266;25983;26693;27388;28068;24163
1100908;Castanheiras (RO);3653;3617;3583;3550;3119;3052;2987;2923;3456
1100924;Chupinguaia (RO);9887;10129;10364;10593;10886;11182;11472;11755;10129
1100940;Cujubim (RO);20204;20974;21720;22443;24226;25215;26183;27131;15883
1101005;Governador Jorge Teixeira (RO);10327;10127;9933;9745;8095;7767;7445;7130;8420
1101104;Itapuã do Oeste (RO);9831;9995;10155;10310;10272;10458;10641;10819;9209
1101203;Ministro Andreazza (RO);10860;10823;10786;10751;9762;9660;9559;9461;6657
1101302;Mirante da Serra (RO);12414;12360;12308;12258;11080;10947;10818;10691;9740
1101401;Monte Negro (RO);15710;15873;16032;16186;15695;15852;16007;16158;12241
1101435;Nova União (RO);7853;7824;7796;7769;7047;6970;6895;6822;6577
1101450;Parecis (RO);5589;5697;5802;5904;5947;6074;6198;6319;4390
1101468;Pimenteiras do Oeste (RO);2432;2424;2417;2410;2191;2169;2148;2127;2311
1101476;Primavera de Rondônia (RO);3548;3501;3456;3411;2939;2856;2776;2697;3279
1101484;São Felipe D'Oeste (RO);6160;6103;6048;5994;5280;5172;5066;4962;5605
